objectid,filename,youtubeid,vimeoid,title,format,description,creator,recipient,date,item_information,subject,location,latitude,longitude,source,identifier,rights,rightsstatement,type,culture
coll076,76,,,Nōsatsu of nōsatsu enthusiast beside Inari shrine,image/jpg,,Unknown,,"Edo (Tokugawa)-Taishô period, 19th-early 20th century",single-page; nôsatsu print,Foxes; Inari,Japan,35.6762,139.6503,"Gift of Frederick Starr Estate, Jordan Schnitzer Museum of Art.

Link to item page on Jordan Schnitzer Museum of Art website",1964:3.23.1172,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll077,77,,,Nōsatsu of men and foxes by torii,image/jpg,,Unknown,,"Edo (Tokugawa)-Taishô period, 19th-early 20th century",single-page; nôsatsu print,Foxes,Japan,35.6762,139.6503,"Gift of Frederick Starr Estate, Jordan Schnitzer Museum of Art.

Link to item page on Jordan Schnitzer Museum of Art website",1964:3.23.1029,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll078,78,,,"Votive slip folio 9 verso 2, 769.952.C685 v.36",image/jpg,"Two-unit votive slip with black border. Depicts large man in purple kimono and robes, sitting on the ground and looking at a woman through see-through curtain. Red slip with black text along upper right edge. Multiple black and white slips bunched in upper half, outliers in lower left corner and lower right edge.",Unknown,,Unknown,single-page; print,Ghosts,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v36_0019b,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll079,79,,,"Votive slip folio 7 verso 6, 769.952.C685 v.24",image/jpg,Single-unit votive slip with double black border. Image of paper with black text and picture of dead person.,Unknown,,Taishō period (1912-1926),single-page; print,Ghosts,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v24_0015f,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll080,80,,,Yoshida Senshi (Yoshida Senshi),image/jpg,,"UTAGAWA Kunisada 歌川国貞 (UTAGAWA Toyokuni 3 三代歌川豊国, Japanese, 1786-1865)",,"Edo (Tokugawa) period (1615-1868), circa 1838, 5th lunar month",single-page; print,Ghosts,Japan,35.6762,139.6503,"Museum Purchase (with funds from a JSMA Academic Support Grant), Jordan Schnitzer Museum of Art.

Link to item page on Jordan Schnitzer Museum of Art website",2016:37.2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll081,81,,,Kappa no Odori,image/jpg,Three kappa dancing.,Unknown,,Unknown,single-page; print,Kappa,Japan,35.6762,139.6503,"""Kappa no Odori,"" Shōbundō senjafuda collection, Coll 482, Special Collections & University Archives, University of Oregon Libraries, Eugene, Oregon.

Learn more about the Shōbundō senjafuda collection at Archives West",Shōbundō senjafuda collection (Coll 482),"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll082,82,,,Kappa no Yume,image/jpg,A kappa dreams of holding a large gourd.,Unknown,,Unknown,single-page; print,Kappa,Japan,35.6762,139.6503,"""Kappa no Yume,"" Shōbundō senjafuda collection, Coll 482, Special Collections & University Archives, University of Oregon Libraries, Eugene, Oregon.

Learn more about the Shōbundō senjafuda collection at Archives West",Shōbundō senjafuda collection (Coll 482),"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll083,83,,,Kappa Tōhachiken,image/jpg,Two kappa playing tōhachiken (a hand game) for cucumbers.,Unknown,,Unknown,single-page; print,Kappa,Japan,35.6762,139.6503,"""Kappa Tōhachiken,"" Shōbundō senjafuda collection, Coll 482, Special Collections & University Archives, University of Oregon Libraries, Eugene, Oregon.

Learn more about the Shōbundō senjafuda collection at Archives West",Shōbundō senjafuda collection (Coll 482),"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll084,84,,,Kappa no Gidayū,image/jpg,A kappa chanting gidayū accompanied by a female kappa playing a shamisen.,Unknown,,Unknown,single-page; print,Kappa,Japan,35.6762,139.6503,"""Kappa no Gidayū,"" Shōbundō senjafuda collection, Coll 482, Special Collections & University Archives, University of Oregon Libraries, Eugene, Oregon.

Learn more about the Shōbundō senjafuda collection at Archives West",Shōbundō senjafuda collection (Coll 482),"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll085,85,,,"Votive slip folio 2 recto 2, 769.952.C6854",image/jpg,"Two-unit votive slip with double black border. Image with turtle on hind legs, covering face with red object; two laughing children. White sticker in upper left with ""Kyosai"" written in English letters.",Unknown,,Unknown,single-page; print,Kappa,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c6854_0006b,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll086,86,,,"Votive slip folio 13 verso 1, 769.952.C685 v.6",image/jpg,"A daimeifuda for Frederick Starr. The collection contains several copies of this, suggesting he used it frequently. It depicts a kappa carrying an oversized cucumber (a favorite food of kappa). The top right block of writing says “Starr,” the top left block says “Gonzales,” and the smaller block above the kappa’s knee says Beikoku (America).",Unknown,,Unknown,single-page; print,Kappa,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v6_0027a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll087,87,,,"Folio 47 recto, 769.952.C685 v.38",image/jpg,Four-unit votive slip on page. Figures and musicians on stage. Lanterns and wisteria above.,Unknown,,Unknown,single-page; print,Kappa,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v38_0096,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll088,88,,,Nōsatsu of kappa and cucumber,image/jpg,,Unknown,,"Edo (Tokugawa)-Taishô period, 19th-early 20th century",single-page; nôsatsu print,Kappa,Japan,35.6762,139.6503,"Gift of Frederick Starr Estate, Jordan Schnitzer Museum of Art.

Link to item page on Jordan Schnitzer Museum of Art website",1964:3.23.1165,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll089,89,,,Nosatsu of performance with Ebisu (恵比寿) catching a kappa,image/jpg,,Unknown,,"Edo (Tokugawa)-Taishô period, 19th-early 20th century",single-page; nôsatsu print,Kappa,Japan,35.6762,139.6503,"Gift of Frederick Starr Estate, Jordan Schnitzer Museum of Art

Link to item page on Jordan Schnitzer Museum of Art website",1964:3.23.1163,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll090,90,,,"Votive slip folio 44 recto 1, NE1184.35.N67 v.34",image/jpg,"Three-unit votive slip with double black border. Two men with votive slips on ground. Tree, night.",Unknown,,Unknown,single-page; print,Nōsatsukai,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v34_090a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll091,91,,,"Votive slip folio 44 verso 2, NE1184.35.N67 v.34",image/jpg,Four-unit votive slip with double black border. Men outside with red gate and flowering plum trees. Slips with black text in upper right corner.,Unknown,,Unknown,single-page; print,Nōsatsukai,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v34_089b,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll092,92,,,"Votive slip folio 33 verso 2, NE1184.35.N67 v.34",image/jpg,Four-unit votive slip with partial black border. Image of men and women at larger nōsatsukai meeting. Stained and torn bottom edge.,Unknown,,Unknown,single-page; print,Nōsatsukai,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v34_067b,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll093,93,,,"Votive slip folio 23 recto 2, 769.952.C685 v.36",image/jpg,Four-unit votive slip with double black border. Lively scene with many male figures examining and exchanging votive slips. Blue is dominant color.,Unknown,,Unknown,single-page; print,Nōsatsukai,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v36_0048b,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll094,94,,,"Nōsatsu, Nōsatsukai (removed from wall)",image/jpg,,Unknown,,"Edo (Tokugawa)-Taishô period, 19th-early 20th century",single-page; nôsatsu print,Nōsatsukai,Japan,35.6762,139.6503,"Gift of Frederick Starr Estate, Jordan Schnitzer Museum of Art

Link to item page on Jordan Schnitzer Museum of Art website",1964:3.23.360,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll095,95,,,"Votive slip folio 34 verso 1, NE1184.35.N67 v.34",image/jpg,Votive slip with no border. Collage of faces and text.,Unknown,,Unknown,single-page; print,Oni,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v34_069a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll096,96,,,"Votive slip folio 22 recto 3, NE1184.35.N67 v.34",image/jpg,"This slip is part of a series based on iroha karuta, a card-matching game linked to the Japanese syllabary. In its orthodox form, one set of cards would each have a poem on it beginning with a different syllable. Another set of cards would have that syllable accompanied by an illustration. The picture-cards would be scattered on the floor, and one person would read the poem while other players scrambled to find the matching card. In this case, instead of a poem the lower card contains a phrase having to do with senjafuda or one of the members of the ren. Here it’s Ōta Setchō, the name of a senjafuda participant. The picture on the top card is of an oni, which of course begins with the same syllable as Ōta. The match of image to name entails a playful suggestion that Setchō himself is an oni – in this case, a rather dumpy-looking ogre with a bulbous red nose and bright red loincloth.",Unknown,,Unknown,single-page; print,Oni,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v34_046c,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll097,97,,,"Votive slip folio 16 recto 1, NE1184.35.N67 v.30",image/jpg,Four-unit votive slip with double black border. Scene with three people. White slip with black text in lower left corner.,Unknown,,Unknown,single-page; print,Oni,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v30_034a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll098,98,,,"Votive slip folio 17 verso 2, NE1184.35.N67 v.20",image/jpg,The two daimei read “Starr” and “Maebashi” (Starr’s companion). This slip may be a reference to the traditional spring ritual of scattering toasted beans to chase away demons; other slips in the Starr collection show demons being chased away with senjafuda instead of beans.,Unknown,,Unknown,single-page; print,Oni,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v20_035b,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll099,99,,,Heroes Making a Tour in Hell,image/jpg,Heroes clowning around on a tour of hell,"UTAGAWA Sadahide 歌川貞秀 (Japanese, 1807-1873)",,"Edo (Tokugawa) period (1615-1868), 1843",single-page; print,Oni; Hell,Japan,35.6762,139.6503,"Murray Warner Collection of Oriental Art, Jordan Schnitzer Museum of Art

Link to item page on Jordan Schnitzer Museum of Art website",MWJ51:S24,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll100,100,,,Spring Bean Throwing Ceremony,image/jpg,Spring in his majesty’s reign: scattering beans,"KAWANABE Kyōsai 河鍋暁斎 (Japanese, 1831-1889)",,Edo (Tokugawa) period (1615-1868),single-page; print,Oni,Japan,35.6762,139.6503,"Murray Warner Collection of Oriental Art, Jordan Schnitzer Museum of Art

Link to item page on Jordan Schnitzer Museum of Art website",MWJ51:K87,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll101,101,,,Thunder God with Child Demon,image/jpg,,Hiromitsu,,19th century,sculpture; wood/ivory,Oni,Japan,35.6762,139.6503,"Murray Warner Collection of Oriental Art, Jordan Schnitzer Museum of Art.

Link to item page on Jordan Schnitzer Museum of Art website",MWJ13:11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll102,102,,,"Votive slip folio 13 verso 6, 769.952.C6854",image/jpg,"Single-unit votive slip with black border. Text in upper half, image below, all against blank background.",Unknown,,Unknown,single-page; print,Oni,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c6854_0027f,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll103,103,,,"Votive slip folio 13 verso 5, 769.952.C6854",image/jpg,"Single-unit votive slip with black border. Text in upper half, image of ink brush and pot on fire below, all against blank background.",Unknown,,Unknown,single-page; print,Oni,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c6854_0027e,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll104,104,,,"Votive slip folio 13 verso 4, 769.952.C6854",image/jpg,"Single-unit votive slip with black border. Text in upper half, image of samurai helmet below, all against blank background.",Unknown,,Unknown,single-page; print,Oni,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c6854_0027d,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll105,105,,,"Votive slip folio 13 verso 3, 769.952.C6854",image/jpg,"Single-unit votive slip with black border. Text in upper half, image below, all against blank background.",Unknown,,Unknown,single-page; print,Oni,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digitall",769_952_c6854_0027c,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll106,106,,,"Votive slip folio 37 verso 2, 769.952.C685 v.7",image/jpg,"This slip shows the traditional spring ritual of scattering toasted beans to chase away demons, with two twists. First, an actual oni is shown fleeing into the distance. Second, instead of beans the man in the foreground is tossing senjafuda at the oni.",Unknown,,Unknown,single-page; print,Oni,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v7_0075b,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll107,107,,,"Votive slip folio 19 verso 1, 769.952.C685 v.7",image/jpg,"An Ōtsue style oni kneeling on a red carpet as if in greeting. The writing top left is a series of daimei. The pose, the red carpet, and the formal kimono suggest a rakugo storyteller bowing to the audience prior to beginning his routine. The object in front of him is a mallet used to strike a small gong, a standard accoutrement of oni in Ōtsue; here the oni has placed it in front of him as a rakugo performer would place his folding fan.",Unknown,,Unknown,single-page; print,Oni,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v7_0039a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll108,108,,,"Votive slip folio 3 verso 1, 769.952.C685 v.7",image/jpg,"An anchor lowered from a cloud has hooked a bag of puffed rice (okoshi), which the caption identifies as an “Asakusa specialty.” The brand name on the bag is Thunder (kaminari), which ties in with the unseen figure on the cloud lowering his anchor: a thunder god.",Unknown,,Unknown,single-page; print,Oni,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v7_0007a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll109,109,,,"Votive slip folio 9 verso 1, 769.952.C685 v.6",image/jpg,"Single-unit votive slip with black border. Black and white images against black background. White slip with black text above image of nude figure turned away, running or dancing.",Unknown,,Unknown,single-page; print,Oni,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v6_0019a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll110,110,,,"Votive slip folio 11 recto 1, 769.952.C685 v.5",image/jpg,"Two-unit votive slip with double black border. Two masks, human and monster. Black text in upper left. White slip with black text in upper right.",Unknown,,Unknown,single-page; print,Oni; Masks,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v5_024ar,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll111,111,,,"Votive slip folio 30 verso 1, 769.952.C685 v.39",image/jpg,Two-unit votive slip with partial black border. Three small white skeletal figures and large red skeletal figure near water. White slips with black text in upper right and lower left corner.,Unknown,,Unknown,single-page; print,Oni; Hell,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v39_0061a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll112,112,,,"Votive slip folio 29 recto 2, 769.952.C685 v.39",image/jpg,"Two-unit votive slip with partial double black border. Blue and purple perimeters around image of budda sitting on lotus flower atop purple cloud. Lotus flowers and plants below. Black and white slips at right. Rolled up scroll with black text, white slip with black text, along left edge.",Unknown,,Unknown,single-page; print,Oni; Hell,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v39_0060b,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
